team1,team2,date,time,round
Italy,Sweden,2026-09-10,22:05,Pool A
Czechia,Greece,2026-09-11,17:00,Pool A
Slovakia,Slovenia,2026-09-11,22:00,Pool A
Sweden,Czechia,2026-09-12,17:00,Pool A
Greece,Italy,2026-09-12,22:05,Pool A
Slovenia,Sweden,2026-09-13,17:00,Pool A
Italy,Slovakia,2026-09-13,22:05,Pool A
Slovakia,Czechia,2026-09-14,17:00,Pool A
Slovenia,Greece,2026-09-14,22:00,Pool A
Greece,Sweden,2026-09-15,17:00,Pool A
Czechia,Italy,2026-09-15,22:05,Pool A
Sweden,Slovakia,2026-09-16,17:00,Pool A
Czechia,Slovenia,2026-09-16,22:00,Pool A
Slovakia,Greece,2026-09-17,17:00,Pool A
Italy,Slovenia,2026-09-17,22:05,Pool A
Bulgaria,North Macedonia,2026-09-09,19:00,Pool B
Poland,Portugal,2026-09-10,16:00,Pool B
Israel,Ukraine,2026-09-10,19:00,Pool B
Ukraine,North Macedonia,2026-09-11,16:00,Pool B
Portugal,Bulgaria,2026-09-11,19:00,Pool B
Poland,Israel,2026-09-12,16:00,Pool B
Bulgaria,Ukraine,2026-09-12,19:00,Pool B
Portugal,Israel,2026-09-13,16:00,Pool B
North Macedonia,Poland,2026-09-13,19:00,Pool B
Ukraine,Portugal,2026-09-14,16:00,Pool B
Bulgaria,Israel,2026-09-14,19:00,Pool B
North Macedonia,Portugal,2026-09-15,16:00,Pool B
Poland,Ukraine,2026-09-15,19:00,Pool B
Israel,North Macedonia,2026-09-16,16:00,Pool B
Poland,Bulgaria,2026-09-16,19:00,Pool B
Finland,Denmark,2026-09-10,20:00,Pool C
Netherlands,Belgium,2026-09-11,17:00,Pool C
Serbia,Estonia,2026-09-11,20:00,Pool C
Denmark,Netherlands,2026-09-12,17:00,Pool C
Belgium,Finland,2026-09-12,20:00,Pool C
Estonia,Denmark,2026-09-13,17:00,Pool C
Finland,Serbia,2026-09-13,20:00,Pool C
Serbia,Netherlands,2026-09-14,17:00,Pool C
Estonia,Belgium,2026-09-14,20:00,Pool C
Belgium,Denmark,2026-09-15,17:00,Pool C
Netherlands,Finland,2026-09-15,20:00,Pool C
Denmark,Serbia,2026-09-16,17:00,Pool C
Netherlands,Estonia,2026-09-16,20:00,Pool C
Serbia,Belgium,2026-09-17,17:00,Pool C
Finland,Estonia,2026-09-17,20:00,Pool C
Romania,Latvia,2026-09-09,20:00,Pool D
France,Switzerland,2026-09-10,17:00,Pool D
Türkiye,Germany,2026-09-10,20:00,Pool D
Germany,Latvia,2026-09-11,17:00,Pool D
Switzerland,Romania,2026-09-11,20:00,Pool D
France,Türkiye,2026-09-12,17:00,Pool D
Romania,Germany,2026-09-12,20:00,Pool D
Switzerland,Türkiye,2026-09-13,17:00,Pool D
Latvia,France,2026-09-13,20:00,Pool D
Germany,Switzerland,2026-09-14,17:00,Pool D
Romania,Türkiye,2026-09-14,20:00,Pool D
Latvia,Switzerland,2026-09-15,17:00,Pool D
France,Germany,2026-09-15,20:00,Pool D
Türkiye,Latvia,2026-09-16,17:00,Pool D
France,Romania,2026-09-16,20:00,Pool D
